Country,Gender,Wage_hour,Wage_month,Education,Education_years,Experience_years,Partner,Nationality,Numeracy_score
ESP,Female,5.2023121387,900,Upper_second,14,18,Yes,National,234.24614
ESP,Male,9.2485549133,1600,Primary,6,36,No,National,271.42698
ESP,Female,4.9132947977,850,Secondary,10,17,,National,231.60234
ESP,Male,16.184971098,3500,Tertiary,17,5,Yes,National,314.92838
ESP,Male,12.04238921,2500,Tertiary,17,10,Yes,National,337.20677
ESP,Male,2.8075970273,850,Primary,6,3,No,National,183.31821
ESP,Male,4.0462427746,700,Secondary,10,18,Yes,Non_national,120.23276
ESP,Male,10.569777044,1600,Tertiary,15,9,Yes,National,260.51263
ESP,Female,8.1695568401,1060,Tertiary,15,1,No,National,244.10504
ESP,Male,13.487475915,700,Tertiary,15,3,No,National,341.24979
ESP,Male,5.4936416185,1188,Secondary,10,5,No,National,256.46254
ESP,Female,8.7486330261,1400,Secondary,12,10,Yes,National,184.254
ESP,Female,13.747851898,2200,Tertiary,17,19,Yes,National,272.89008
ESP,Male,5.2023121387,900,Primary,6,35,Yes,National,224.40041
ESP,Male,4.3352601156,450,Secondary,10,20,No,Non_national,102.25105
ESP,Female,8.0924855491,1400,Primary,6,27,Yes,National,288.77577
ESP,Female,9.8265895954,1700,Tertiary,17,8,Yes,National,277.53504
ESP,Female,16.698779705,2600,Secondary,10,40,,National,181.47424
ESP,Female,8.0924855491,1400,Secondary,10,22,Yes,National,266.14112
ESP,Female,6.5028901734,900,Primary,6,15,,National,219.89002
ESP,Female,5.1380860629,1000,Secondary,12,12,Yes,Non_national,233.12325
ESP,Male,7.3805902038,1213,Tertiary,15,36,Yes,Non_national,293.17293
ESP,Female,7.9099482811,1300,Tertiary,15,30,Yes,National,231.57105
ESP,Female,9.1268634013,1500,Upper_second,14,2,No,National,235.75735
ESP,Female,13.212221305,2000,Upper_second,14,12,,National,263.02652
ESP,Female,4.7225433526,817,Primary,6,1,Yes,National,179.45978
ESP,Female,9.2485549133,1200,Upper_second,14,12,Yes,National,282.82927
ESP,Female,6.5510597303,850,Secondary,12,20,Yes,Non_national,211.48565
ESP,Male,5.7803468208,1000,Upper_second,14,5,No,National,331.5747
ESP,Female,5.6300578035,974,Secondary,10,7,Yes,Non_national,243.49998
ESP,Male,8.0924855491,1400,Primary,6,34,Yes,National,253.62519
ESP,Male,10.98265896,1900,Tertiary,15,15,Yes,Non_national,299.55661
ESP,Male,20.231213873,3500,Tertiary,21,30,Yes,Non_national,269.50628
ESP,Male,5.7803468208,1200,Secondary,10,15,Yes,National,162.84757
ESP,Female,12.716763006,110,Secondary,12,0,No,National,308.18584
ESP,Female,8.4077771939,1200,Primary,6,17,Yes,National,168.20434
ESP,Female,4.4958253051,700,Secondary,10,3,Yes,National,215.51045
ESP,Male,8.6705202312,1500,Upper_second,14,7,Yes,Non_national,241.09464
ESP,Male,10.089332633,2400,Upper_second,14,22,Yes,National,258.2721
ESP,Male,9.633911368,2500,Primary,6,14,Yes,National,183.67457
ESP,Female,7.5144508671,1300,Secondary,12,7,Yes,Non_national,64.1617
ESP,Male,8.7861271676,570,Secondary,12,0,No,National,286.02091
ESP,Male,5.2848885219,800,Primary,6,40,Yes,National,188.74967
ESP,Male,10.404624277,1800,Primary,6,35,Yes,National,213.80523
ESP,Male,15.414258189,2000,Tertiary,17,12,,National,324.51993
ESP,Male,11.560693642,2000,Secondary,12,28,Yes,National,268.63631
ESP,Female,6.0845756009,1000,Tertiary,15,7,Yes,National,300.48263
ESP,Female,6.936416185,1200,Secondary,10,25,,National,220.25831
ESP,Female,11.248242462,1800,Secondary,12,12,Yes,National,199.09563
ESP,Female,6.6061106524,1000,Upper_second,14,15,No,National,253.42104
ESP,Female,6.0776218002,920,Secondary,10,33,No,Non_national,229.83905
ESP,Female,25.433526012,1100,Tertiary,17,18,Yes,National,275.83844
ESP,Female,7.9273327828,1200,Secondary,12,18,Yes,National,259.1026
ESP,Male,6.936416185,1200,Secondary,10,10,Yes,Non_national,232.17476
ESP,Female,15.520231214,2685,Tertiary,17,15,Yes,National,277.41827
ESP,Female,6.936416185,900,Secondary,10,20,Yes,National,251.95958
ESP,Female,10.789980732,1400,Primary,6,44,Yes,National,206.8506
ESP,Female,5.3357047577,300,Upper_second,14,3,Yes,Non_national,273.78674
ESP,Male,7.1933204881,1400,Secondary,10,9,Yes,National,283.05083
ESP,Male,6.2427745665,1080,Primary,6,41,Yes,National,272.09857
ESP,Male,12.169151202,2000,Tertiary,15,35,Yes,National,231.47983
ESP,Female,7.3988439306,800,Tertiary,17,18,Yes,National,272.5967
ESP,Male,6.936416185,1200,Primary,6,4,Yes,Non_national,302.00647
ESP,Male,6.936416185,1200,Primary,6,21,Yes,National,203.09672
ESP,Male,12.138728324,2100,Secondary,10,23,Yes,National,321.39473
ESP,Female,13.212221305,2000,Tertiary,15,18,Yes,National,301.89639
ESP,Male,14.450867052,2500,Secondary,10,41,Yes,National,238.75911
ESP,Female,8.6705202312,1500,Tertiary,15,37,,National,238.86691
ESP,Male,6.936416185,1200,Tertiary,15,13,Yes,National,346.5663
ESP,Female,9.710982659,1470,Upper_second,14,24,Yes,National,331.93333
ESP,Female,7.2667217176,1100,Secondary,12,22,Yes,National,228.63112
ESP,Male,14.450867052,2500,Primary,6,35,Yes,National,256.56654
ESP,Male,8.6705202312,1500,Secondary,10,38,Yes,National,212.29109
ESP,Male,7.5144508671,1300,Primary,6,44,Yes,National,326.2028
ESP,Male,9.633911368,1500,Secondary,10,29,Yes,National,215.7863
ESP,Female,5.7803468208,500,Primary,6,8,Yes,National,121.05491
ESP,Male,5.2023121387,900,Primary,6,25,Yes,National,238.48106
ESP,Female,5.4335260116,470,Upper_second,14,8,Yes,National,276.23297
ESP,Male,8.2209377007,1600,Primary,6,32,Yes,National,270.24916
ESP,Male,8.6705202312,1500,Upper_second,14,5,No,National,287.85277
ESP,Female,6.8739259491,1100,Secondary,12,3,Yes,National,264.29337
ESP,Female,6.3583815029,550,Primary,6,3,Yes,National,221.38347
ESP,Male,5.6518946692,1100,Tertiary,15,8,No,National,280.84329
ESP,Female,8.6705202312,1500,Secondary,10,40,Yes,National,211.02273
ESP,Female,4.9545829893,900,Secondary,10,2,Yes,National,245.81139
ESP,Male,15.445086705,2672,Secondary,12,19,Yes,National,269.76612
ESP,Male,11.177539224,1692,Secondary,12,35,Yes,National,245.99641
ESP,Female,8.0924855491,700,Secondary,10,15,No,Non_national,221.99708
ESP,Male,11.560693642,2000,Secondary,10,41,No,National,204.60073
ESP,Female,9.9091659785,1500,Secondary,10,23,Yes,National,251.75632
ESP,Female,5.0806206267,835,Secondary,12,17,Yes,National,224.17108
ESP,Male,10.952236082,1800,Tertiary,17,12,Yes,National,287.36381
ESP,Male,40.462427746,1400,Primary,6,2,No,National,172.39177
ESP,Female,5.2023121387,450,Secondary,10,22,Yes,National,290.22167
ESP,Male,8.4778420039,2200,Primary,6,24,Yes,National,182.52378
ESP,Female,8.6705202312,1500,Secondary,12,28,Yes,National,265.29457
ESP,Male,14.450867052,1500,Tertiary,17,5,No,National,291.40899
ESP,Female,6.936416185,1200,Secondary,10,15,Yes,National,272.23107
ESP,Male,10.918432884,850,Tertiary,17,13,Yes,National,323.25733
ESP,Female,4.6242774566,700,Tertiary,15,3,,National,285.68649
ESP,Male,8.0924855491,1400,Secondary,10,8,No,National,262.65019
ESP,Female,6.936416185,1200,Secondary,12,24,No,National,256.50958
ESP,Male,3.4682080925,600,Primary,6,2,No,National,270.0297
ESP,Male,26.97495183,700,Tertiary,17,39,Yes,National,302.0013
ESP,Male,7.5144508671,1300,Upper_second,14,5,No,National,286.48051
ESP,Female,5.549132948,1200,Secondary,12,40,Yes,National,247.14843
ESP,Male,20.809248555,2700,Tertiary,17,41,Yes,National,278.58707
ESP,Female,5.7803468208,1000,Upper_second,14,12,No,Non_national,264.16265
ESP,Female,16.184971098,2100,Tertiary,15,12,Yes,National,289.82732
ESP,Female,3.9636663914,600,Secondary,12,7,No,Non_national,159.09532
ESP,Male,12.138728324,2100,Secondary,12,17,Yes,National,309.45016
ESP,Female,5.4913294798,950,Secondary,12,29,Yes,National,256.21821
ESP,Female,11.248242462,1800,Tertiary,15,12,Yes,National,308.27292
ESP,Female,4.6242774566,400,Primary,6,3,Yes,National,225.21315
ESP,Female,9.2485549133,1400,Secondary,12,11,Yes,National,238.65551
ESP,Male,7.5144508671,1300,Primary,6,35,Yes,National,261.50393
ESP,Male,8.8928412628,1500,Secondary,10,20,Yes,National,222.58897
ESP,Male,17.497266052,2800,Tertiary,17,15,Yes,National,278.36305
ESP,Male,9.3360412436,1494,Primary,6,38,Yes,National,208.18041
ESP,Female,6.8739259491,1100,Tertiary,15,8,No,National,256.06026
ESP,Female,5.7803468208,1000,Primary,6,12,No,Non_national,163.94084
ESP,Female,9.2485549133,1600,Secondary,10,19,No,National,223.97367
ESP,Female,7.0064809949,1000,Upper_second,14,17,Yes,National,258.34355
ESP,Male,6.936416185,1200,Secondary,10,4,No,National,302.51592
ESP,Female,9.2485549133,1800,Upper_second,14,6,No,National,299.01961
ESP,Male,8.734746307,1700,Primary,6,39,Yes,National,245.79642
ESP,Male,5.7803468208,1000,Secondary,12,8,No,National,265.18943
ESP,Female,5.4913294798,950,Primary,6,27,No,National,218.93567
ESP,Male,12.716763006,2200,Tertiary,17,17,Yes,National,331.19787
ESP,Male,16.515276631,2500,Tertiary,15,39,Yes,National,288.44499
ESP,Female,5.7803468208,1000,Secondary,12,17,No,Non_national,226.07176
ESP,Male,16.647398844,1800,Tertiary,17,16,,National,341.58406
ESP,Male,10.98265896,1900,Secondary,12,11,No,National,258.19932
ESP,Female,16.515276631,2500,Tertiary,15,41,Yes,National,227.35057
ESP,Male,4.6242774566,400,Secondary,10,0,No,National,312.39301
ESP,Male,7.225433526,1500,Primary,6,24,Yes,National,173.16762
ESP,Male,9.3735353851,1500,Secondary,10,25,Yes,National,266.50637
ESP,Female,8.5879438481,1300,Secondary,10,7,Yes,National,280.96874
ESP,Female,6.0693641618,1050,Secondary,12,10,Yes,Non_national,246.18791
ESP,Male,5.7803468208,1000,Secondary,10,12,No,National,245.51693
ESP,Male,8.1429322123,1937,Tertiary,15,6,Yes,National,266.30852
ESP,Female,8.6705202312,1500,Upper_second,14,25,No,National,244.32999
ESP,Female,6.936416185,1200,Secondary,10,21,,National,155.38849
ESP,Female,98.265895954,1700,Secondary,12,35,No,National,196.07727
ESP,Male,7.7071290944,1500,Upper_second,14,15,Yes,National,254.22274
ESP,Female,5.7803468208,500,Tertiary,17,4,Yes,National,293.4749
ESP,Female,12.777608762,2100,Tertiary,17,35,Yes,National,288.52837
ESP,Male,7.5144508671,1300,Secondary,12,5,Yes,National,296.48063
ESP,Male,24.046242775,1040,Secondary,10,22,,National,239.96994
ESP,Female,4.7398843931,246,Secondary,10,13,Yes,National,241.06474
ESP,Female,5.9454995871,900,Secondary,10,16,Yes,National,197.55392
ESP,Male,13.005780347,900,Secondary,12,9,No,National,246.1534
ESP,Male,4.6242774566,1000,Secondary,12,10,Yes,Non_national,225.15319
ESP,Male,5.7032755299,740,Secondary,10,13,Yes,National,290.66235
ESP,Female,11.873144821,1900,Tertiary,17,14,Yes,National,343.17129
ESP,Male,7.3988439306,1600,Secondary,10,14,Yes,National,185.4296
ESP,Female,14.450867052,2500,Tertiary,17,19,No,National,303.83003
ESP,Male,10.404624277,1800,Primary,6,13,No,National,236.41929
ESP,Female,10.569777044,1600,Tertiary,15,21,Yes,National,294.88354
ESP,Female,9.0232696013,1522,Tertiary,15,1,No,National,250.67242
ESP,Female,6.8739259491,1100,Secondary,12,40,Yes,National,207.57398
ESP,Female,2.8901734104,750,Upper_second,14,5,No,Non_national,221.42907
ESP,Male,5.0867052023,1100,Secondary,10,41,Yes,National,166.21316
ESP,Female,6.3583815029,1100,Secondary,10,30,Yes,National,152.67838
ESP,Male,6.936416185,1200,Secondary,12,5,No,National,297.334
ESP,Female,2.5289017341,700,Primary,6,25,Yes,National,181.57826
ESP,Female,4.6242774566,800,Secondary,12,8,Yes,Non_national,229.56721
ESP,Male,7.7071290944,1500,Primary,6,13,Yes,National,242.96674
ESP,Female,4.8676604807,400,Secondary,10,2,No,Non_national,205.06645
ESP,Male,8.3815028902,1450,Secondary,10,20,,National,198.06623
ESP,Female,6.2758051197,570,Secondary,12,19,Yes,National,279.55716
ESP,Female,7.7071290944,1000,Primary,6,22,Yes,National,217.91418
ESP,Female,9.083402147,1100,Upper_second,14,15,Yes,National,271.90993
ESP,Female,18.497109827,3200,Tertiary,17,8,,National,325.29459
ESP,Male,10.276172126,2000,Secondary,10,24,Yes,National,292.0568
ESP,Male,8.0924855491,1400,Tertiary,15,8,Yes,National,307.39628
ESP,Male,10.404624277,1800,Secondary,12,11,,National,344.84367
ESP,Male,7.8034682081,1350,Secondary,10,17,Yes,National,213.99924
ESP,Male,5.4913294798,950,Secondary,10,22,No,Non_national,224.99132
ESP,Male,8.6705202312,1500,Tertiary,17,6,,National,236.7913
ESP,Male,13.87283237,2400,Upper_second,14,23,Yes,National,260.09484
ESP,Male,10.404624277,1800,Primary,6,11,Yes,Non_national,180.99053
ESP,Male,9.2485549133,1600,Secondary,12,22,Yes,National,254.1297
ESP,Female,6.3583815029,1100,Upper_second,14,19,No,National,258.94308
ESP,Female,7.7071290944,400,Primary,6,1,Yes,Non_national,221.95272
ESP,Female,21.271676301,2300,Tertiary,15,15,Yes,National,240.65498
ESP,Male,8.9595375723,1550,Primary,6,29,Yes,National,319.03571
ESP,Male,12.023121387,2600,Upper_second,14,26,Yes,National,242.73601
ESP,Male,23.468208092,2030,Secondary,10,25,Yes,National,228.55502
ESP,Female,5.1380860629,1200,Secondary,10,1,No,National,180.59649
ESP,Female,7.9099482811,1300,Upper_second,14,10,Yes,National,256.23257
ESP,Male,5.4913294798,950,Secondary,10,4,No,National,284.5607
ESP,Female,4.6242774566,800,Secondary,12,13,Yes,National,227.91014
ESP,Male,5.7803468208,1000,Primary,6,12,No,National,211.84459
ESP,Female,5.8306107062,580,Secondary,10,20,Yes,Non_national,265.93053
ESP,Male,8.5879438481,1300,Tertiary,15,8,Yes,National,320.35973
ESP,Male,4.6242774566,1000,Secondary,10,16,No,Non_national,270.96227
ESP,Male,9.0610842056,1450,Tertiary,15,15,,National,306.36717
ESP,Male,8.6705202312,1500,Tertiary,17,12,Yes,National,317.17468
ESP,Male,20.231213873,3500,Tertiary,17,7,Yes,Non_national,240.48751
ESP,Male,5.1380860629,1000,Secondary,10,21,No,National,158.92191
ESP,Male,15.819896562,2600,Upper_second,14,18,Yes,National,270.62254
ESP,Female,4.0462427746,700,Upper_second,14,10,Yes,National,208.75273
ESP,Female,19.818331957,3000,Secondary,12,44,Yes,National,226.45717
ESP,Female,13.212221305,2000,Tertiary,17,37,Yes,National,281.73552
ESP,Female,7.9273327828,1200,Tertiary,15,23,Yes,National,259.02727
ESP,Female,3.7572254335,650,Tertiary,15,19,No,National,278.16848
ESP,Female,5.7803468208,800,Secondary,12,4,No,National,185.79361
ESP,Male,15.414258189,3000,Tertiary,15,37,Yes,National,266.96315
ESP,Male,5.1380860629,1000,Secondary,10,27,Yes,National,200.03909
ESP,Male,6.936416185,1200,Primary,6,30,Yes,National,188.83869
ESP,Female,3.9306358382,680,Primary,6,13,No,Non_national,175.56536
ESP,Female,7.2667217176,1100,Tertiary,17,2,No,Non_national,298.87856
ESP,Female,22.265039606,2600,Tertiary,15,11,Yes,National,293.93665
ESP,Female,4.161849711,720,Secondary,10,15,Yes,Non_national,238.45445
ESP,Male,6.936416185,1200,Secondary,10,31,Yes,National,260.97385
ESP,Female,4.5417010735,1100,Secondary,12,6,Yes,National,242.10207
ESP,Female,6.6061106524,1000,Secondary,10,25,Yes,National,136.03056
ESP,Male,6.0115606936,1300,Secondary,11,4,No,National,207.92281
ESP,Female,9.9091659785,1500,Primary,6,40,Yes,National,278.87135
ESP,Male,4.2592029206,700,Secondary,10,19,Yes,National,289.99669
ESP,Male,6.936416185,1200,Primary,6,47,Yes,National,165.25459
ESP,Male,8.6705202312,1500,Primary,6,9,Yes,National,247.46972
ESP,Male,1.7341040462,150,Secondary,12,1,No,National,266.27259
ESP,Male,12.169151202,2000,Tertiary,15,8,No,National,281.9834
ESP,Female,6.7822736031,880,Upper_second,14,5,No,National,231.26473
ESP,Male,4.1104688504,800,Upper_second,14,10,No,National,215.59524
ESP,Male,6.0724064497,998,Secondary,10,34,Yes,National,151.31285
ESP,Male,5.0578034682,700,Secondary,10,15,No,Non_national,219.48409
ESP,Female,9.8265895954,1700,Tertiary,17,6,Yes,National,321.26248
ESP,Male,10.404624277,1800,Upper_second,14,21,Yes,National,281.57965
ESP,Male,5.7803468208,1000,Primary,6,27,Yes,National,200.00148
ESP,Female,4.293971924,650,Primary,6,10,No,Non_national,108.92279
ESP,Female,5.7803468208,200,Primary,6,21,No,National,136.02002
ESP,Male,7.5144508671,1300,Secondary,12,10,Yes,National,263.39027
ESP,Male,23.121387283,3000,Upper_second,14,30,Yes,National,274.89833
ESP,Female,13.086705202,1415,Secondary,12,19,Yes,National,289.246
ESP,Male,5.0096339114,1300,Secondary,10,7,No,National,292.37778
ESP,Male,7.5144508671,650,Tertiary,15,7,No,National,328.77543
ESP,Female,9.7353209614,1600,Tertiary,15,27,No,National,278.79934
ESP,Female,9.633911368,1000,Secondary,10,8,Yes,National,188.9191
ESP,Female,5.7803468208,1200,Secondary,12,8,No,National,235.71835
ESP,Female,16.247461334,2600,Tertiary,15,31,Yes,National,223.68068
ESP,Male,5.8854440357,1400,Secondary,12,24,,National,297.86417
ESP,Female,7.4142581888,481,Primary,6,10,Yes,National,151.01149
ESP,Female,17.726396917,2300,Tertiary,15,30,Yes,National,299.04225
ESP,Male,17.785682526,3000,Upper_second,14,24,,National,330.60949
ESP,Female,8.4778420039,1100,Tertiary,15,19,Yes,National,279.24521
ESP,Female,7.7398843931,1339,Primary,6,18,Yes,National,201.266
ESP,Male,9.8265895954,1700,Primary,6,14,Yes,National,187.51991
ESP,Female,2.0552344252,400,Tertiary,15,4,Yes,Non_national,138.59721
ESP,Male,8.6705202312,1500,Secondary,12,40,Yes,National,277.58049
ESP,Male,7.1466106148,1700,Upper_second,14,22,Yes,National,276.51906
ESP,Male,15.1940545,2300,Tertiary,15,9,Yes,National,257.57912
ESP,Female,9.9091659785,1500,Secondary,10,28,,National,188.72622
ESP,Female,4.816955684,500,Secondary,12,3,No,National,252.30503
ESP,Female,4.6242774566,300,Secondary,12,1,No,National,231.87019
ESP,Male,7.8612716763,1700,Upper_second,14,18,Yes,National,279.10489
ESP,Female,5.7687861272,499,Secondary,12,2,No,National,218.75487
ESP,Male,7.4502247913,1450,Secondary,10,22,Yes,National,260.78217
ESP,Male,5.9454995871,900,Secondary,10,6,No,National,192.10289
ESP,Male,4.6242774566,600,Secondary,10,1,No,Non_national,272.54645
ESP,Male,7.1933204881,1400,Primary,6,23,Yes,National,243.92614
ESP,Male,10.569777044,1600,Secondary,12,6,No,National,260.13512
ESP,Female,8.0924855491,1400,Secondary,10,6,Yes,National,222.04589
ESP,Male,8.2080924855,1420,Primary,6,30,Yes,National,233.41899
ESP,Male,14.450867052,2500,Secondary,10,38,Yes,National,195.90376
ESP,Male,5.3949903661,1400,Tertiary,15,3,No,National,241.31737
ESP,Female,8.5879438481,1300,Secondary,12,21,Yes,National,232.84606
ESP,Male,5.1380860629,1000,Primary,6,16,Yes,National,194.82392
ESP,Male,15.1940545,2300,Tertiary,17,24,Yes,National,319.59473
ESP,Female,6.3583815029,1100,Secondary,10,31,Yes,National,233.47867
ESP,Female,5.2023121387,900,Upper_second,14,15,Yes,National,262.611
ESP,Female,3.002569043,935,Secondary,10,4,No,National,216.44638
ESP,Female,7.1142730102,1200,Secondary,12,7,Yes,National,282.41698
ESP,Male,10.404624277,1800,Secondary,12,16,Yes,National,236.97292
ESP,Female,11.911017691,1700,Tertiary,17,12,Yes,National,316.59244
ESP,Male,7.9273327828,1200,Primary,6,22,Yes,National,228.66579
ESP,Female,5.0867052023,880,Secondary,10,13,Yes,National,195.31848
ESP,Female,5.7803468208,1000,Secondary,12,10,Yes,Non_national,236.01116
ESP,Male,11.817597945,2300,Primary,6,16,Yes,National,261.00573
ESP,Male,7.5144508671,1300,Secondary,12,17,Yes,Non_national,262.9048
ESP,Male,5.0446663163,1200,Secondary,10,4,Yes,Non_national,282.60171
ESP,Male,9.2485549133,1600,Tertiary,17,11,No,National,267.49289
ESP,Male,9.633911368,1000,Secondary,12,11,Yes,National,289.17137
ESP,Female,12.551610239,1900,Tertiary,15,20,No,National,346.094
ESP,Female,10.05277708,1000,Tertiary,15,10,Yes,National,279.84569
ESP,Male,6.4739884393,1400,Secondary,12,24,Yes,National,249.52957
ESP,Female,13.87283237,2100,Tertiary,17,7,Yes,National,272.8784
ESP,Female,3.8535645472,500,Secondary,12,4,No,National,267.9016
ESP,Female,9.8265895954,1700,Tertiary,17,14,Yes,National,204.64747
ESP,Male,7.5144508671,1300,Primary,6,30,Yes,National,123.80001
ESP,Female,5.5662599015,1300,Tertiary,15,3,No,Non_national,215.44365
ESP,Female,18.497109827,2400,Tertiary,15,30,Yes,National,234.20836
ESP,Male,18.253726803,3000,Tertiary,17,21,No,National,314.28386
ESP,Male,9.633911368,1500,Upper_second,14,7,Yes,National,308.25051
ESP,Male,8.6705202312,1500,Primary,6,15,Yes,National,239.64565
ESP,Male,15.414258189,3000,Primary,6,38,Yes,National,123.71132
ESP,Female,5.4335260116,564,Primary,6,4,Yes,National,199.71555
ESP,Female,8.8081475365,1600,Tertiary,17,3,,National,280.26213
ESP,Male,11.329479769,1960,Upper_second,14,40,Yes,National,289.1046
ESP,Female,17.341040462,3000,Tertiary,17,16,Yes,National,185.66045
ESP,Female,6.3583815029,1100,Secondary,10,10,Yes,National,243.17433
ESP,Female,4.6242774566,600,Secondary,10,27,No,National,248.3219
ESP,Female,,1000,Secondary,12,12,Yes,National,204.14106
ESP,Female,10.173410405,1100,Upper_second,14,22,Yes,National,249.5761
ESP,Male,6.936416185,1200,Primary,6,14,No,National,220.2863
ESP,Female,3.2369942197,700,Tertiary,15,2,Yes,Non_national,207.43517
ESP,Female,8.6705202312,1500,Upper_second,14,25,Yes,National,292.45357
ESP,Female,7.2667217176,1100,Secondary,12,28,Yes,National,245.20781
ESP,Male,4.6242774566,600,Primary,6,18,No,National,230.98058
ESP,Male,16.247461334,2600,Secondary,12,18,Yes,National,288.87439
ESP,Female,8.5879438481,1300,Secondary,12,16,Yes,Non_national,262.3029
ESP,Male,11.560693642,2000,Upper_second,14,22,Yes,National,282.75341
ESP,Female,10.569777044,1600,Tertiary,15,4,No,National,348.23572
ESP,Male,5.7803468208,1000,Primary,6,9,Yes,National,238.79716
ESP,Male,4.2592029206,700,Primary,6,20,Yes,National,264.73287
ESP,Female,6.3583815029,1100,Secondary,10,24,,National,218.47619
ESP,Female,6.3899106674,608,Upper_second,14,16,Yes,National,252.09281
ESP,Female,13.994523882,2300,Secondary,10,20,No,National,330.12746
ESP,Female,3.5260115607,610,Primary,6,1,No,National,198.27035
ESP,Female,7.3311715776,1300,Primary,6,19,,National,198.98681
ESP,Female,6.521416926,1100,Tertiary,17,15,Yes,National,197.39529
ESP,Male,5.7803468208,200,Secondary,10,2,No,National,305.65889
ESP,Female,4.133823787,1180,Secondary,12,10,No,Non_national,208.3534
ESP,Female,5.2209584188,700,Upper_second,14,6,Yes,National,205.38695
ESP,Male,11.890999174,1800,Primary,6,39,Yes,National,209.15868
ESP,Male,4.9207054987,830,Secondary,10,38,Yes,National,180.79373
